freq,avg_offset,err_offset
20.0,2.308406690394715,0.32741691443453114
24.0,1.2063623689050897,0.117600984370873
28.0,0.7684527707687898,0.030354309355375527
32.0,0.9857167284615366,0.03257759609589713
36.0,1.0037337031910227,0.05765495824891786
40.0,1.4246915584567588,0.38996808845597075
44.0,1.4526815412742646,0.3870611386770486
48.0,1.4486834138014373,0.38911123600526537
52.0,1.2905501226678027,0.13867063332891846
60.0,1.2974259948686055,0.1445248417444206
72.0,1.1737565667495202,0.06230065089286117
80.0,1.24809922132718,0.09761777238330113
92.0,1.38239038654763,0.16919991798656162
104.0,1.4125715217762567,0.13721213671735968
124.0,1.366714629596016,0.032743084037340595
136.0,1.4090798558059288,0.03678127219918052
148.0,1.3637502381780298,0.038322606947394866
176.0,1.4199618983673434,0.022337471717461546
196.0,1.4216447555246456,0.029608914791928533
224.0,1.426171192585357,0.038668266865231615
256.0,1.4392353801403452,0.030816906043158884
272.0,1.4362373764553515,0.027318333044453715
332.0,1.4048790763022596,0.04930371282119441
388.0,1.4464974468118788,0.054688063074723625
428.0,1.3447752738182777,0.05536456098369916
484.0,1.3511570131452892,0.05463205249441806
540.0,1.2114098375889064,0.061598271439501445
624.0,1.1787374495317777,0.05840809834886341
740.0,1.0773265495227373,0.06990105417510814
804.0,1.0379379477782262,0.06950976302176903
940.0,0.9507439353156165,0.06794438597306077
1040.0,0.9305305849635058,0.09071371437252652
